,title,description,title_label,description_label
17, 챗   리서치 추천 주식 알려줘 금융권 최초   챗봇  등장,포쓰저널 김지훈 기자 사진 증권 생성형 인공지능  기술이 적용된 챗봇 서비스가 증권가에도 혁신의 바람을 불러오고 있는 가운데  증권이 국내 금융권 최초로  챗  기술 기반  챗봇  증권  를 출시했다  ,1,0
18,일론 머스크  오픈  지분 제안받았지만  비윤리적이라 거절 ,일론 머스크 테슬라 최고경영자 가 생성형 인공지능   챗  개발사인 오픈  지분을 제안받았지만  비윤리적으로 보여 받아들이지 않았다고 밝혔다  머스크는  년 오픈   인 샘 올트먼과 공동으로 오픈 를  ,0,0
19, 인터뷰   퇴직해도  챗  활용해 맞춤법 검사기 성능 높일 터 ,최근 권 교수는  챗  등 생성형  를 활용해 검사기 성능을 높이기 위해 연구하고 있다  오류를 고치는 부분에서는  가 검사기보다 낫다는 분석에서다  그는  의 작동 방식을 검사기 규칙으로 만들면서 영감을  ,0,1
20, 엔비디아 아성 깨자  삼성   슈퍼칩  경쟁 불붙였다, 는  챗  등 생성형  의 특정 정보 검색이나 요약 수준을 넘어 공상과학  영화 속   비서처럼 스스로 상상하고 추론하는 게 가능하다  실제로 구현되기까지는 수십 년 가까이 소요될 것이라는 전망이 많았다  ,0,0
21,동양레이더 부여도서관 평생교육 수강생 모집,성인 대상은  챗 와 캔바로 나도 디자이너  캘리그라피와 플러스펜 수채화  어르신 대상  문인화  왕초보  자격증 강좌로  독서지도사 급  그림책통합예술놀이 등  개 강좌다  수강료는 무료이며  ,1,0
22,심심할 틈이 없다   챗  탑재한 푸조 벌써부터 히트 조짐,푸조가 이달 초 영국에서 시범 서비스를 시작한  챗 에 최소  명이 넘는 운전자가 등록하면서  출시 규모를 두 배로 늘리기로 했다  푸조는 이달부터 세계  대 시장에서  챗  시범 서비스를 시작했으며  영국은  ,1,0
23, 과학게시판     와 양자대학원 공동 운영 협약  , 광주과학기술원 은   활용 교육의 저변 확대와 실무역량 강화를 위해   및  챗  교육 챌린지 를 개최한다고 밝혔다   월  일 오룡관  호에서 열리는 송인규 교수의 강의는 일반인도 사전 신청 없이  ,1,0
24, 가 영상 만드는 시대 왔다 컴퓨팅 파워 수익 모델 마련해야 ,한 업계 관계자는  오픈 가  챗 를 운영하는 데 드는 컴퓨팅 인프라 비용만 하루  만 달러 약  억 천만원 라며  이보다 더 무거운 영상모델을 서비스하려면 몇 배 더 높은 운영 비용을 감당해야 할 것 이라고 설명했다  ,1,0
25,디지털 시대에 무당과 역술인이 늘어나는 이유,우리 모두 처음 겪는 상황이기 때문이다  김홍열 연세대 졸업  사회학 박사  미래학회 편집위원  저서  축제의 사회사   디지털 시대의 공간과 권력  공저  뉴사피엔스  챗   시그널 코리아  ,0,1
26,머스크  오픈  지분 제안받았지만  비윤리적이라 거절 ,일론 머스크 테슬라 최고경영자 가 생성형 인공지능   챗  개발사인 오픈  지분을 제안받았지만  비윤리적으로 보여 받아들이지 않았다고 밝혔다   일 현지시간  미국 경제매체 비즈니스인사이더에 따르면  ,0,0
27, 증권   챗  기반  증권   선봬, 증권은 챗봇    거래 플랫폼  스토어 에 챗지피티  기술을 기반으로 한  증권  를  일 출시했다고  일 밝혔다   스토어는 인공지능  챗봇을 자유롭게 거래할 수 있는 온라인 시장으로  챗  ,0,0
28, 증권  챗봇 거래 플랫폼에서  증권   출시, 증권이 챗봇 거래 플랫폼  스토어에  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어는  인공지능  챗봇을 자유롭게 거래하는 온라인 마켓플레이스로  챗  개발사인 오픈 가  ,0,0
29, 증권  국내 금융권 최초 오픈  플랫폼에  증권   출시, 증권이 국내 금융권 최초로  챗  기술을 기반으로 오픈  플랫폼에 공개했다   일  증권 사장 김성현  이홍구 은 최근 챗봇    거래 플랫폼  스토어 에  증권  를 출시했다고 밝혔다   스토어 는  ,1,0
30,  배스킨라빈스  혁신 매장 워크샵 오픈 주한미국상공회의소 회장도 찾았 ,특히 회사는 오픈  가 개발한  챗  를 통해 신제품 아이디어를 구성하고 생성형  로 제품 비주얼까지 그려내는 차세대 상품 개발 모델  배스킨라빈스         시스템을 최초 시범 운영한다  워크샵  ,0,0
31, 증권  국내 금융권 최초  스토어에  증권   선봬,사진 증권  증권은 지난  일 챗봇    거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는  챗봇을 자유롭게 거래할 수 있는  ,1,1
32, 한미반도체는 거품주  저격에도 주가 껑충 에코프로는  주르륵 ,한미반도체 주가는 지난해 초 생성형    챗  열풍을 타고 수혜를 받을 것으로 전망되면서 우상향 곡선을 그리기 시작했다  지난해 실적 부진에도 한미반도체가 상반기에만 주가가  배 뛰자 거품이 끼어있다는  ,0,0
33, 엔비디아 에 들썩였던  하이닉스 삼성전자  다시 주춤,이 프로젝트는 마이크로소프트 가  챗  를 만든 오픈 에  억달러 이상을 투자한 것보다 훨씬 더 큰 규모로  만약 손 회장의 계획이 성공한다면   산업의 지형까지 변화시킬 수 있다는 전망이 나온다  다만  ,1,0
34,  전환  외친 신동빈 사업 과제  개 쏟아냈다,롯데정보통신 관계자는  챗 와 같은 외부 상용  도 적극적으로 적용해 비즈니스 가치를 극대화할 수  편의점 세븐일레븐을 운영하는 코리아세븐은 편의점 경영주를 위한 생성형   챗봇  브니 를 도입했다  ,0,0
35, 과기원    유독성 물질 분해 새 촉매 개발  ,   는 인공지능  활용 교육 저변을 확대하고 실무역량을 강화하기 위해   및  챗  교육 챌린지 를 개최한다고  일 밝혔다   일에는   교직원 대상으로 교육이 진행되며  월  일에는 학생 및 연구자 대상  ,0,0
36,  배스킨라빈스    활용 차세대 혁신매장  워크샵  오픈,오픈 가 개발한  챗 를 통해 신제품 아이디어를 구상하고 생성형  로 제품 비주얼까지 그려내는 차세대 상품 개발 모델  배스킨라빈스         시스템 을 최초로 시범 운영한다  워크샵 매장에서만  ,0,0
37,지스트  인공지능 활용한 미래교육 활짝 연다, 챗  교육 챌린지 를 개최한다고  일 밝혔다  종전에 특정한 교육 집단을 대상으로 하여 일회적 단편적으로 실시하던  챗  교육 프로그램의 구성을 과감히 다각화하고 교육 참여 대상자의 스펙트럼을  ,0,0
38,육군  디지털 대전환 데이터 중심 업무 정착 선언,기반 국방데이터 활용 활성화 방안  하정우 디지털플랫폼정부위원회 인공지능 데이터 분과위원장의  챗   년  초거대   전쟁 시대의 국방 을 주제로 한 강연이 진행됐다  박 총장은  디지털 대전환은  첨단  ,0,0
39,머스크  오픈  지분 제안받아 비윤리적이라 거절 ,일론 머스크 테슬라 최고경영자 가 과거 생성형 인공지능   챗  개발사인 오픈 의 지분을 제안받았지만  비윤리적으로 여겨져 받아들이지 않았다고 밝혔다  머스크는  년 오픈   인 샘 올트먼과 공동으로  ,0,0
40, 김익현의 미디어 읽기  도 넘은  이강인 기사 와  챗  시대 저널리즘, 챗  같은 생성형 인공지능 이 대중화되면 기자들의 일 중 상당 부분이 사라질 것이란 전망이 적지 않다  심하게는  기자의 미래도 불투명하다는 경고를 하는 사람도 있다  물론 나는  챗 가 기자를 완전히 대체할  ,1,1
41,부산시교육청  늘봄학교 전면 시행 준비 박차,학교에서 운영하기 어려운  챗 로 금융 배우기  수학으로 배우는 인공지능 등 학습적 요소를 담은 양질의 다양한 방과 후 프로그램을 운영한다  시교육청은 이를 통해 다양하고 특색있는 교육 기회를 제공해  ,0,0
42, 이슈진단  에어캐나다 울린  이것 생성형   도입 기업들  비상 ,오픈 가 개발한  챗 의 경우 미국 내 총기권리 활동가인 마크 월터스에 대해  횡령  혐의가 있다고   챗  로고  사진 지디넷코리아   챗 의 거짓말 사례는 또 있다  호주 남부 햅번셔의 시장으로 선출된  ,0,0
43, 증권  국내 금융권 최초  스토어에  챗  출시 실시간 응답 ,투데이 코노믹   박재형 기자    증권이 지난  일 인공지능  챗봇 거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는   ,1,0
44,머스크  또 오픈  비판 지분 제안  비윤리적으로 보여 거절 ,일론 머스크 테슬라 최고경영자 가 생성형 인공지능   챗  개발사인 오픈  지분을 제안받았지만  머스크는 지난해 직접   회사를 설립하고 오픈 의  챗 와 경쟁할   챗봇을 배포했다 ,0,0
45, 기업    배스킨라빈스    활용 신제품 연구개발 매장 열어,이 매장에서는  챗 나 생성형  로 신제품을 구상한 뒤 나온 제품을 소비자에게 가장 먼저 공개할 예정입니다  또 소비자 반응을 바탕으로 신제품을 가맹점포에 확대할지 여부를 결정한다는 계획입니다 ,1,0
46, 증권  국내 금융권 첫  스토어에  챗봇  증권   출시, 증권은 지난  일 챗봇    거래 플랫폼  스토어 에 국내 금융권 처음으로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는  챗봇을 자유롭게 거래할 수 있는 온라인  ,1,1
47, 증권   스토어에  증권   출시 국내 금융권 최초,우먼타임스   황예찬 기자  증권은 지난  일 챗봇    거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는  챗봇을 자유롭게  ,1,0
48, 뉴스속 용어 팡  매그니피센트  이어 이젠     시대, 는  챗  로 생성형   열풍을 불게 한  오픈  의 대주주로  세계   기술 흐름을 주도하고 있다는 평가를 받는다   브로드컴은 최근 몇 년간 미국 뉴욕증시 랠리를 주도했던  팡 페이스북 애플  ,0,0
49, 증권   국내 금융권 최초   스토어에  증권   출시,라이센스뉴스   박정경 기자    증권 사장 김성현  이홍구 이 지난  일 챗봇 거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는  챗봇을  ,1,0
50,저출산 고령화 인가구 시대 가전업계   신시장  찾기 총력  스페셜리포트 ,그러면서  년대부터  가구  로봇  시대가 될 것이라고 언급돼 왔지만  기술적 장벽으로 실현이 못 됐다 라며  챗  등장으로 이제는 기술 발전이 빨라진 만큼  챗 와 로봇 하드웨어의 가격하락이 맞물리면 빠르면  ,0,0
51,대구한의대  소상공인 온라인 진출 활성화 공로 중기부 장관 표창,산학협력단은  년  소상공인디지털전환지원센터를 조직해 지역 소상공인들에게 라이브커머스   챗  등 생성 인공지능  인플루언서 마케팅 등 디지털 적용 능력 및 자생적 전환 촉진 역량 강화를 위한 첨단 교육 과정  ,1,0
52, 증권  국내 금융권 최초  챗  선봬, 증권은 지난  일 챗봇    거래 플랫폼  스토어에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어는 인공지능  챗봇을 자유롭게 거래할 수 있는  ,1,0
53, 데일리픽  콘솔 게임업계  이중고 테슬라  사이버트럭 녹 아냐 ,하지만 일부 전문가들은  챗 와 같은   기반 도구를 사용하면 더 많은 보안 문제가 발생할 수 있다고 경고했다    엔비디아   공개 세계에서 가장 빠른 슈퍼컴퓨터 중 하나  엔비디아 가 데이터 센터 규모의  ,0,1
54, 슈퍼선거의 해  맞아 사이버보안주 강세, 챗  개발사    가 텍스트를 동영상으로 바꿔 만들어주는 프로그램인    의 관심이 연일 커지고 있습니다   일 금융투자업계에 따르면 전문가들은  기술을 악용한 딥페이크가 사용되면서 가짜뉴스  ,1,0
55,  오너  세 독립경영  활용한 배스킨라빈스 실험,특히 워크샵에선  챗 가 구상하고 제품 비주얼을 그려내는 차세대 상품 개발 모델  배스킨라빈스         시스템을 최초 시범 운영한다   챗 가 배스킨라빈스의 이달의 맛을 구상하고 직접  ,1,0
56,  금융권 최초로  스토어에  증권   출시, 증권은 챗봇    거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는 인공지능 챗봇을 자유롭게 거래할 수 있는 온라인  ,1,1
57,유진그룹  전자도서관 수요지식회 등 직원 역량 개발 위한 프로그램 운영,최근에는  챗  활용법   트렌드코리아   등 비즈니스 실무에 적용할 수 있는 실용적인 강의가 이뤄졌다  유진기업은  역량계발 지원금 제도 도 운영 중이다  자격증 취득을 독려하고 교육비 일부를 지원하는 제도다  ,0,0
58, 신정원의 생생팝업   로 광고 만드는 시대 부작용도 고민해야,카카오톡    챗 인  아숙업 도 마찬가지다  대화창에  공원에서 책을 읽고 있는  대 남성을 그려줘  등을 입력하면 그에 맞는 이미지를 생성해 준다  때문에 광고  웹툰  게임 등 산업 전반에서 생성형  를  ,0,0
59,   챗  교육 챌린지  개최 교육계 디지털전환 선도 ,광주과학기술원  총장 임기철 은 인공지능  활용 교육의 저변 확대 및 실무역량 강화를 위해   및  챗  교육 챌린지 를 개최한다고  일 밝혔다  교육은   교직원 대상  일 오후  시  디지털역량연구소  ,0,0
60,현장 안전부터 미래 신사업까지  선도하는 롯데건설,롯데건설이 개발한   플랫폼은 대화형 인공지능인  챗  와 같은 강력한 거대 언어 모델  기술에 기반을 둔다  이 플랫폼은 건설현장의 복잡하고 다양한  시방서 공사 순서를 적은 문서 에 대한 질문에  ,1,0
61, 단상 새로운 문명대변혁  인류혁명 시대를 대비해야 한다,또  챗  인공지능 의 등장으로 그동안 문 앞에서 머뭇거리고 있던 새로운 문명대변혁의 미래에 인류는 등 떠밀리듯 들어와 버렸다   챗   와 기후변화의 본격화로 세상의 변화는 급가속하고 있다  인류는 농업혁명  ,1,1
62, 미래읽기  비전 프로와 공간컴퓨팅 그리고 디지털 공간경제 시대,전 세계를   열풍으로 몰아넣고 있는  챗 가 비전 프로에 탑재되었다   챗  개발사인 오픈 가 비전 프로용  챗  앱을 만든 것이다  이제  챗 는 다양한 아바타의 모습으로 디지털 공간에서 우리와 함께 할 것이다  ,1,1
63, 증권소식  검찰   불법 공매도  의혹  씨티은행 맥쿼리 등 압색 우리종 ,   증권이 국내 금융권 처음으로  챗  기술을 기반으로 한  증권  를  스토어에 출시했다고  일 밝혔다   증권은 금융업계의 미래를 선도하기 위해 인공지능 과 신기술들을 다각도로 적용하는 등 기술  ,1,0
64,  국내 금융권 최초로  스토어에  증권   출시, 증권은 지난  일 챗봇    거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는  챗봇을 자유롭게 거래할 수 있는 온라인  ,1,1
65, 증권   스토어에  증권   출시 종목랭킹 증권 추천주 연금상품 , 증권이 국내 금융권 처음으로 지난  일 챗봇    거래 플랫폼  스토어 에  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   이미지  증권   증권이 국내 금융권 처음으로 지난  일  ,0,0
66,작년  분기 랜섬웨어 공격     생성형   악용에 급증,주목할 대목은 생성형  인  챗  를 활용한 랜섬웨어 공격도 발생한 점이다  보고서에 따르면 중국 정부는 기업에 랜섬웨어 공격을 한 혐의로  명을 체포한 바 있는데 이들은 공격 수행에  챗  를 활용한 것으로  ,0,0
67,포은중앙도서관 메이커 웹툰 프로그램 등 수강생 모집,상반기 웹툰 메이커 프로그램은  컷 만화 그리기  처음 만나는 책모티콘  아두이노 블록코딩   챗 와 떠나는 스토리여행 등 남녀노소 다양한 취미생활을 즐길 수 있도록 했다    미디어 라이브러리  나는야 북튜버  ,1,1
68, 증권  국내 금융권 최초  챗  출시,이투데이 박상인 기자    증권은 국내 금융권 최초로  챗 를 기반으로 한  증권  를 출시했다고  일 밝혔다   증권  는  증권 오픈 와 연계해 종목랭킹   증권 추천주  리서치 추천  연금상품 조회  ,1,1
69,배스킨라빈스    활용한 혁신매장  워크샵  오픈,특히 오픈  가 개발한  챗 를 통해 신제품 아이디어를 구상하고 생성형  로 제품 비주얼까지 그려내는 차세대 상품 개발 모델  배스킨라빈스     시스템 을 시범 운영할 예정이다  워크샵 매장에서만 접할 수 있는  ,0,0
70,김용경 국힘 대전서구갑 예비후보  질서 있는 세대교체 적임자 자임 ,저는 평소 오픈    챗 와 구글   챗봇  제미나이 를 사용해 선거운동을 하고 있습니다  그 답변 가운데 하나는  과거 보수 정당의 이미지를 탈피하고 새로운 변화와 혁신을 보여주는 것이 중요하고 미래지향적인  ,1,1
71, 증권   스토어에  증권   출시 국내 금융권 최초, 증권은 지난  일 챗봇    거래 플랫폼  스토어 에 국내 금융권 처음으로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어는 인공지능 챗봇을 자유롭게 거래할 수 있는  ,1,0
72,대한민국   탐정 선도기업  사설탐정 분야 위상 제고와 전문가 양성 주력,사설탐정들이 불특정 다수에게 악영향을 미치는 사이버 범죄에 능동적으로 대처할 수 있도록 인공지능 드론 포렌식 데이터 분석 관련 기술 교육  인공지능  챗  심화 교육을 체계적으로 진행한다  아울러 윤리  ,1,0
73,포은중앙도서관 메이커 웹툰 프로그램 등 수강생 모집,이번 상반기 웹툰 메이커 프로그램은  컷만화 그리기   처음 만나는 책모티콘   아두이노 블록코딩   챗 와 떠나는 스토리여행  등 남녀노소 다양한 취미생활을 즐길 수 있도록 했다    미디어 라이브러리  ,1,1
74, 증권  국내 금융권 최초로  증권   출시, 증권은 국내 금융권 최초로  챗  기술을 적용한  증권  를  일 출시했다고  일 밝혔다   증권  는  스토어 에 접속 후  증권 을 검색해 이용할 수 있다  오픈  유료회원등급인   플러스  ,1,0
75,홍익표    교섭단체대표연설서   여야 힘 모아   기업 뒷받침 ,또  챗   등장 이후 국내 기업들 역시 초거대 인공지능 플랫폼 개발 경쟁에 본격 참여하면서 성과를 거두고 있다  중소 스타트업 기업은 초거대 인공지능 플랫폼을 이용해 특화 영역에서 전문 인공지능 서비스를  ,1,0
76,네이버   시대 본격화  검색 커머스 활용 확대, 챗  공개 이후  가 미래 먹거리로 떠오르면서  는   업체 입장에서 거부할 수 없는 흐름이 되고 있다  이에 네이버 역시 핵심 사업인 검색과 커머스 부문에  를 결합해 기술 경쟁력과 플랫폼 영향력이라는 두 마리  ,0,1
77, 증권  국내 금융권 최초  스토어에  증권   출시, 증권은 지난  일 챗봇    거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는  챗봇을 자유롭게 거래할 수 있는 온라인  ,1,1
78, 증권  금융권 최초  증권   출시, 증권은 지난  일 챗봇 거래 플랫폼  스토어 에  챗  기술을 기반으로 한  증권  를 국내 금융권 최초로 출시했다고  일 밝혔다   증권은 지난  일 챗봇 거래 플랫폼  스토어 에  챗  기술을  ,1,0
79, 증권  국내 금융권 최초  스토어에  증권   출시, 증권 제공  증권은 지난  일 챗봇    거래 플랫폼  스토어에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어는  챗봇을 자유롭게 거래할 수 있는  ,1,1
80, 줌인    훈풍타고 샌프란시스코로 돌아오는   테크 기업들, 챗 를 만든 오픈 는 최근 샌프란시스코의 미션 베이    인근에 있는 사무실 단지에 두 개의 새 건물을 임대하여 사무실을 늘렸다  샘 알트먼 오픈  최고경영자 의 주 거주지는 샌프란시스코의 러시안 힐  ,1,1
81, 영어 이름 부르기 로 정말 편해졌나요   스토리팩 업스테이지 ,일례로 현재   분야의 가장 큰 화두 중 하나인  거대언어모델  기술력 측면에서도 업스테이지는 이미  오픈 챗   구글  메타 페이스북  등과 어깨를 나란히 하고 있는 점을 들 수 있겠습니다  그간 조직 안팎의  ,0,0
82, 가 알려주는 종목랭킹   증권   챗  출시,뉴데일리 변상이 기자    증권은  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는  챗봇을 자유롭게 거래할 수 있는 온라인 마켓플레이스로  ,1,1
83, 증권  국내 금융권 최초로  증권   출시,민주신문 이한호 기자 증권은 챗봇 거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어는  챗봇을 자유롭게 거래할 수 있는 온라인  ,1,1
84, 증권   챗  기술 기반  증권   출시, 증권은  국내 금융회사로는 처음으로  챗  기술 기반  증권  를  스토어에 출시했다 고  일 밝혔다   증권에 따르면 금융업계의 미래를 선도하기 위해 출시했다  인공지능 과 신기술들을 다각도로  ,0,0
85,  배스킨라빈스  주한미국대사관과 상공회의소가 함께 축하한 차세대 혁신  ,특히  챗 를 통해 신제품 아이디어를 구상하고 생성형  로 제품 비주얼까지 그려내는 차세대 상품 개발 모델  배스킨라빈스         시스템 을 최초로 워크숍에서 시범 운영한다 ,1,0
86, 가 종목 추천한다고   증권  국내 금융권 최초  챗  출시, 가 종목 추천한다고   증권  국내 금융권 최초  챗  출시  증권은 지난  일 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다 일  증권에 따르면 해당  는  증권 오픈 응용  ,1,0
87,기계연  대용량 초저온 냉각기술 첫 개발,      및  챗  교육 챌린지 개최  광주과학기술원  총장 임기철 이   활용 교육의 저변 확대 및 실무역량 강화를 위해   및  챗  교육 챌린지 를 개최한다  챌린지 일정은     교직원 대상  ,0,0
88, 증권   스토어에  증권   출시, 증권은 챗봇    거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어는  챗봇을 자유롭게 거래할 수 있는 온라인 마켓플레이스로  ,0,1
89, 리포트  다시 샌프란시스코로 컴백하는 테크기업 기업가들  왜 , 챗 의 오픈 의 경우 최근 샌프란시스코 미션 베이 인근에서 두 개의 건물을 새로 임대해 샌프란시스코내의 사무실 공간을 늘리고 있는 겁니다  이에따라 샌프란시스코와 실리콘밸리를 대표하는  들도 이곳에서  ,1,1
90, 증권   스토어에  증권   출시, 증권이 어제 일  챗봇 거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고 오늘 밝혔습니다   스토어는   챗봇을 자유롭게 거래할 수 있는 온라인  ,0,1
91,에프앤가이드    활용  기업 이슈 요약 카드 뉴스  특허 취득,에프앤가이드 관계자는  챗  등 거대언어모델이 빠르게 발전하고 있으나  금융정보 영역에서는 아직 실험적 콘텐츠만 난무하고 있다 며  이번 특허와 관련된 기술을 바탕으로 투자자들이 정보를 모으고 분석하는  ,0,0
92,샘 올트먼이 촉발한   반도체 전쟁  삼성  웃는다, 챗 를 만든 미국 오픈 의 최고경영자  샘 올트먼은 이달   반도체를 직접 만들겠다고 선언하며 무려  조달러 약  조원 라는 천문학적인 펀드를 모집할 계획이라고 밝혔다  그는 이를 위해 사우디아라비아  ,1,1
